playerName,date,wellness_fatigue,wellness_mood,wellness_sleep,wellness_soreness,wellness_stress
Player18,2017-10-29,5,5,5,5,5
Player6,2017-10-29,5,5,5,5,5
Player21,2017-10-29,5,5,5,4,5
Player3,2017-10-29,5,5,5,5,5
Player14,2017-10-29,5,5,5,5,5
Player7,2017-10-29,5,5,5,5,5
Player29,2017-10-29,5,5,5,5,5
Player1,2017-10-29,5,5,4,5,5
Player2,2017-10-29,5,5,5,5,5
Player5,2017-10-29,5,5,5,5,5
Player11,2017-10-29,5,5,5,5,5
Player30,2017-10-29,5,5,5,4,5
Player16,2017-10-29,5,5,5,5,5
Player25,2017-10-29,5,5,5,5,5
Player9,2017-10-29,5,5,5,5,5
Player20,2017-10-29,4,4,5,4,4
Player26,2017-10-29,5,5,4,4,5
